,author_name,books_name
0,Anita Diamant,"['Good Harbor', 'The Red Tent']"
1,Barbara Hambly,"['The Unschooled Wizard (Sun Wolf and Starhawk, #1-2)']"
2,Jennifer Weiner,"['Best Friends Forever', 'Then Came You']"
3,Alfred J. Church,['The Aeneid for Boys and Girls']
4,Rachel Roberts,"[""All's Fairy in Love and War (Avalon: Web of Magic, #8)"", 'Trial By Fire (Avalon: Web of Magic, #6)']"
5,V.L. Locey,"['Playmaker: A Venom Series Novella', 'Crashing the Crease']"
6,Anton Szandor LaVey,"[""The Devil's Notebook""]"
7,Kenneth Anger,"[""The Devil's Notebook""]"
8,Bernard Knight,"['Crowner Royal (Crowner John Mystery, #13)', 'Crowner Royal (Crowner John Mystery, #13)']"
9,Benjamin Hoff,['The Te Of Piglet']
10,Don Piper,['90 Minutes in Heaven: A True Story of Death and Life']
11,Cecil Murphey,['90 Minutes in Heaven: A True Story of Death and Life']
12,Randy Alcorn,['Heaven']
13,Jennifer L. Holm,"['Penny from Heaven', 'Captain Disaster (Squish, #4)']"
14,Cynthia Rylant,['Dog Heaven']
15,Francoise Sagan,"['Silken Eyes', 'Buenos días, tristeza']"
16,Stephen King,"['The Tommyknockers', 'Αναβίωση', 'The Body', 'Das Spiel', 'Other Worlds Than These', 'O Cemitério', 'Under the Dome', 'Blockade Billy', 'Doctor sueño  (El resplandor, #2)', 'The Regulators', 'Blaze', 'Thinner', 'Different Seasons', 'Doctor Sleep (The Shining, #2)', 'Rose Madder', 'Horror Stories', 'Night Visions 5', 'Ghost Story', 'The Bazaar of Bad Dreams', 'Pytel kostí', 'Needful Things', 'Ojos de fuego', 'Basar der bösen Träume']"
17,Edward Herrmann,['The Tommyknockers']
18,Peter Maass,['Crude World: The Violent Twilight of Oil']
19,L.J. Smith,"['The Passion (Dark Visions, #3)', ""Journal d'un vampire 5"", 'Korpinmusta (Vampyyripäiväkirjat, #1)', 'The Fury', 'Midnight (The Vampire Diaries: The Return, #3)']"
20,Anne Emmert,"['The Passion (Dark Visions, #3)']"
21,James Russell Lowell,['Vision of Sir Launfal and Other Poems']
22,Lisa Mills,['Holding On']
23,Zhang  Yun,"[""Understand God's Word - Walk in the Truth""]"
24,David  Blake,['The Slaughtered Virgin of Zenopolis (Inspector Capstan #1)']
25,David J. Ashton,['The Slaughtered Virgin of Zenopolis (Inspector Capstan #1)']
26,John  Williams,['Stoner']
27,Peter Cameron,"['Stoner', 'The Outward Room']"
28,Stefano Tummolini,['Stoner']
29,Margaret Yorke,"['Dead in the Morning (Patrick Grant, #1)']"
30,Jane Austen,"['Emma', 'Stolz und Vorurteil', 'Northanger Abbey Special Edition', 'Emma', 'Emma', 'Emma', 'Emma Unabridged Compact Disc', 'Pride and Prejudice', 'Orgullo y prejucio', 'Orgoglio e pregiudizio']"
31,Lindsey Schussman,['The Switchblade Mamma']
32,Isaac Asimov,"['Foundation (Foundation, #1)', 'Robots e imperio', ""L'orlo della Fondazione"", 'Já, robot', 'Las corrientes del espacio (Tríptico del Imperio, #2)', 'Through A Glass Clearly', 'Laughing Space: an Anthology of Science Fiction Humour', 'The Caves of Steel (Robot, #1)']"
33,Scott Brick,"['Foundation (Foundation, #1)', 'Flawless', 'The Amateur', 'The Traveler (Fourth Realm, #1)', 'The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America', 'The Chase']"
34,Ernest Hemingway,"['To Have and Have Not', 'An Introduction to Fiction', 'Słońce też wschodzi', 'The Old Man and the Sea', 'The Sun Also Rises']"
35,Will Patton,"['To Have and Have Not', 'Nobody Move']"
36,Kit Tunstall,"['Guardian Cougar (Finding Fatherhood, #2)', 'Polar Bond (Emerald City Shifters, #2)', 'Patrick']"
37,Kit Fawkes,"['Guardian Cougar (Finding Fatherhood, #2)', 'Polar Bond (Emerald City Shifters, #2)']"
38,Esra Bahadir Cesar,['Harita Koruyucuları']
39,H. Kent Baker,['Investor Behavior: The Psychology of Financial Planning and Investing']
40,Victor Ricciardi,['Investor Behavior: The Psychology of Financial Planning and Investing']
41,Stacey Ballis,['Wedding Girl']
42,Jenika Snow,"[""A Kitty in the Lion's Den (Sweet Water, #3)"", 'Lost In You (The Soldiers of Wrath MC, #6)']"
43,Elizabeth Guizzetti,"[""Faminelands: The Carp's Eye (Book 1)""]"
