isbn,language_code,is_ebook,average_rating,description,format,publisher,num_pages,isbn13,edition_information,image_url,book_id,title,date,genres,authors
0471775584,eng,False,4.15,"An introduction to trigonometry and plane and analytic geometry with a final chapter on limits, so that the student is well prepared to begin calculus and advanced mathematics. Its major emphasis is on graphic representation of problems and upon their solution by the combined analytic methods of geometry and algebra.",Paperback,Wiley,424,9780471775584,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,246205,Geometry and Trigonometry for Calculus,1975-05-02,non-fiction;fiction,Peter H. Selby
,eng,False,3.79,"In the eighth in the Strangers and Brothers series Donald Howard, a young science Fellow is charged with scientific fraud and dismissed from his college. This novel, which became a successful West End play, describes a miscarriage of justice in the same Cambridge college which served as a setting for The Masters.",Paperback,Penguin Books,317,,Penguin #1764,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,9798488,The Affair,1962-00-00,fiction,C.P. Snow
0521835402,,False,4.05,"Assuming only an elementary background in discrete mathematics, this textbook is an excellent introduction to the probabilistic techniques and paradigms used in the development of probabilistic algorithms and analyses. It includes random sampling, expectations, Markov's and Chevyshev's inequalities, Chernoff bounds, balls and bins models, the probabilistic method, Markov chains, MCMC, martingales, entropy, and other topics. The book is designed to accompany a one- or two-semester course for graduate students in computer science and applied mathematics.",Hardcover,Cambridge University Press,370,9780521835404,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,486966,Probability and Computing: Randomized Algorithms and Probabilistic Analysis,2005-03-01,non-fiction,Michael Mitzenmacher
,,True,3.95,"Location: South Pole ... Moon
Miles from the multinational Unity lunar outpost, a lone explorer extracts a mysterious object - a missing chapter from the primordial past - from deep beneath the grime ice in the perpetual darkness of crater 6L43A. Inexplicably, the explorer vanishes, and the object along with him.
Nearby, the gears spin on a secret device, setting in motion a chain reaction that could avert a civilization-ending cataclysm. Known only to a select few, the machine must be protected.
But watching from the shadows, a brilliant sociopath has plans of his own. . .
____________________________________________
About
Inspired by Crichton, Asimov, and Brown, ""Cold Trap"" has intense action, political intrigue, a deep central mystery, and a backdrop of science and high-tech gadgetry, a combination that is sure to resonate with fans of contemporary science fiction and techno-thrillers.
____________________________________________
Reviews
Melinda Hills for Readers' Favorite (5 Stars)
""I really enjoyed the story! ... a well written tale of scientific discovery and political/economic maneuvering for world dominance ... Tremendous creativity and an in-depth look at exo-geology - the study of rocks and deposits on the surface of the moon and other 'space rocks' - create a realistic background for action involving the basic human emotions of love, greed, the desire for knowledge and the hunger for power.""",,,0,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,22921817,Cold Trap,0000-00-00,fiction,Jon Waskan
0023445602,en-US,False,4.06,"Encounters is the first volume in The Advanced Studies in Sociology series. This series has been projected to provide a needed outlet for studies and research at the frontiers of Social Science. The criteria for the series are that each study treats an area of research or thought of more than parochial interest, represents the highest standards of scholarship and is presented in literate prose. The series is dedicated to the belief that serious and important scholarship is provoked and stimulated by the widest possible distribution of the written work of leading thinkers and new investigators in a field.",,Bobbs-Merrill,152,9780023445606,,https://images.gr-assets.com/books/1387802356m/335898.jpg,335898,Encounters: Two Studies in the Sociology of Interaction,1961-00-00,non-fiction,Erving Goffman
0590489402,,False,4.23,"Text, illustrations, and suggested activities offer a common-sense approach to mathematic fundamentals for those who are slightly terrified of numbers.",,,0,9780590489409,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3398440,Math for Smarty Pants,0000-00-00,non-fiction;children,Marilyn Burns
1432827200,eng,False,3.92,"The Study of Murder pits Scottish sleuth Muirteach MacPhee against a mysterious adversary in the medieval town of Oxford in 1374. At the command of the Lord of the Isles, Muirteach and his wife Mariota accompany Donald, the lord's surly thirteen-year-old son, to Oxford where Donald is to enroll in university. Shortly after their arrival a winsome tavern maid disappears. At his charge's insistence, Muirteach attempts to help Undersheriff Grymbaud with the investigation, as well as keep Donald at his studies and out of the taverns. He has little success with either venture, although the discovery of some bizarre and suggestive drawings on old parchments piques the curiosity of Donald and his peers. Meanwhile, Mariota thirsts to attend medical lectures at the schools, which are closed to women, and seeks a way to gain admittance to them. When an Oxford master is found brutally bludgeoned to death, Grymbaud asks Muirteach to investigate the slaying. The eventual arrest of an aged servant at the college stirs the ever-simmering discord between townsfolk and university students. The unrest culminates in riots and another senseless killing occurs, endangering Mariota. Gleaning clues from a cryptic manuscript and desperate to save his wife, a determined Muirteach tracks a wily killer through a dark and twisted labyrinth of deceit.",Hardcover,Five Star (ME),263,9781432827205,,https://images.gr-assets.com/books/1373320133m/18061128.jpg,18061128,The Study of Murder (Muirteach MacPhee Mystery #3),2013-09-17,mystery;thriller;crime;fiction;history;historical fiction;biography,Susan McDuffie
1433525402,,False,4.67,"There is great hope in God's power to change, and everyone needs to be changed. This study explores what God does when he saves someone, answering questions such as: What is the change we need? How does conversion happen? What are the fruits of salvation? Participants will gain a biblical understanding of conversion and the implications both for themselves and for the church.
A series of ten 6-7 week studies covering the nine distinctives of a healthy church as originally laid out in Nine Marks of a Healthy Churchby Mark Dever. This series explores the biblical foundations of key aspects of the church, helping Christians to live out those realities as members of a local body. Conveniently packaged and accessibly written, the format of this series is guided, inductive discussion of Scripture passages and is ideal for use in Sunday school, church-wide studies, or small group contexts.",Paperback,Crossway Books,60,9781433525407,,https://images.gr-assets.com/books/1369817696m/12984135.jpg,12984135,Real Change: Conversion,2012-04-30,non-fiction,Bobby Jamieson
0415538076,eng,False,3.68,"This third edition of Hans Bertens' bestselling book is an essential guide to the often confusing and complicated world of literary theory. Exploring a broad range of topics from Marxist and feminist criticism to postmodernism and new historicism Literary Theory: The Basics covers contemporary topics including:
reception theory and reader response theory
the new criticism of postmodernism
the 'after theory' debate
post-humanism, biopolitics and animal studies
aesthetics
Literary Theory: The Basics helps readers to approach the many theories and debates in this field with confidence. Now with updated case studies and further reading this is an essential purchase for anyone who strives to understand literary theory today.",Paperback,Routledge,288,9780415538077,,https://images.gr-assets.com/books/1382354438m/17842073.jpg,17842073,Literary Theory: The Basics,2013-10-09,non-fiction,Hans Bertens
0857868624,,False,4.07,"The field of mind-body medicine is plagued by wild claims that mislead patients and instil false hope. But as scientists in a range of fields uncover solid evidence that our minds influence our bodies far more profoundly than previously thought, there is now great promise too. In her eye-opening new book, Jo Marchant delves deep into the latest scientific research and asks: - Are those who turn to alternative medicine deluded, or are they on to something? - Can our thoughts, beliefs and emotions influence our physical health? - Can we train our brains to heal our bodies? CURE takes us on a remarkable journey and offers a new and thought-provoking view of what it means to be human.",,,0,9780857868626,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,29327173,Cure: A Journey Into the Science of Mind over Body,0000-00-00,non-fiction,Jo Marchant
