isbn,series,language_code,is_ebook,average_rating,description,format,publisher,num_pages,isbn13,edition_information,image_url,book_id,title,date,genres,authors
1743184697,The Violet Eden Chapters,,True,4.27,"Every day Violet Eden wonders whether she made the right choice.
She still doesn't fully understand these powers she's been granted as a half-angel Grigori. And worse, isn't even sure she's capable of using them. Stab someone through the heart? Really?
No matter how bad things get, though, Violet doesn't run and she doesn't quit. Even if it means she can never allow herself to love the guy she longs for. Even if it means asking her enemy for help. Even if no one is telling her the truth.
The war between Exiles and Angels is on--and she's wanted by both sides.",ebook,Bolinda Publishing,464,9781743184691,,https://images.gr-assets.com/books/1346604774m/15900897.jpg,15900897,"Entice (The Embrace Series, #2)",2012-09-04,young-adult;fantasy;paranormal;romance;fiction;mystery;thriller;crime,Jessica Shirvington;Rebecca Macauley
1483919439,,eng,False,3.96,"There's something in the woods behind Jake Marsden's house - and someone wants him to find it. A strange dream shatters his sleep, night after night, and a compulsion to find the dark presence in the forest wars with his logical and ordered nature. What's a geek to do?
When his small hometown of Wynn falls under an ancient curse, Jake will find himself in a battle against creatures worse than any he's faced in a game. Playing for keeps, it will be geek versus god in the fight to stop an evil force bent on destroying everything he holds dear.
The Geek Shall Inherit The Earth - If They Live Long Enough.",Paperback,Createspace,240,9781483919430,,https://images.gr-assets.com/books/1358270054m/17252155.jpg,17252155,Frostwalker,2013-05-07,fantasy;paranormal;fiction,Brandon R. Luffman
0375800085,,,False,3.53,"The Star Wars Episode I: The Phantom Menace Movie Scrapbookis the ultimate insider's guide to The Phantom Menace. Packed with over 100 full-color photos, and including 16 collectible Episode I Data Cards as an added bonus, the Episode I Movie Scrapbook offers fans of all ages the facts behind the new characters, planets, weapons, aliens, ships, vehicles, and droids featured in the film. Discover fascinating details (like where the major scenes were filmed), meet the stellar cast (including Liam Neeson, Ewan McGregor, Natalie Portman, and Jake Lloyd), and even take a quick peek at George Lucas's work behind the scenes of this unforgettable epic adventure.",Paperback,LucasBooks for Young Readers,64,9780375800085,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,263033,Star Wars Episode I: The Phantom Menace Scrapbook,1999-04-24,non-fiction;children,Ryder Windham;Alice Alfonsi
,Disaster,eng,True,3.67,"Edgar Rice Burroughs created the wildly popular Tarzan of the Apesand John Carter of Mars, but the exploits of his heroes cannot rival the writer's own explosive adventure, sparked by the tragic murder of an exotic young beauty on a moon-swept Honolulu beach.
The killing is written off as the tragic result of a lovers' quarrel, but Burroughs suspects that the alluring half-Japanese singer was executed by espionage agents. It's December 6, 1941. War with Japan is looming, and Burroughs has reason to suspect an attack on Oahu is imminent. Was the songstress silenced to prevent her from ""singing"" about certain sinister plans? As Burroughs and his son Hully search for clues and track down suspects, all signs point to the next day--Sunday--as the perfect time for a Japanese invasion. But the thought of such devastation raining down on paradise seems almost unbelievable....
Set against the catastrophic aerial strike that led the United States into another world war, The Pearl Harbor Murderseffortlessly mixes hard-hitting action and exotic romance in this gripping untold chapter from our nation's most tragic day.
Page Numbers Source ISBN: 1612185193",,,0,,,https://images.gr-assets.com/books/1384939933m/18799744.jpg,18799744,"The Pearl Harbor Murders (Disaster, #3)",0000-00-00,mystery;thriller;crime;fiction;history;historical fiction;biography;non-fiction,Max Allan Collins
0756692482,,,False,4.33,"Revised and expanded!
""Star Wars: The Ultimate Visual Guide,"" newly revised and expanded, reveals the story of the amazing Star Wars saga in full detail. 40 new pages help to explain every detail about ""Star Wars"" from the millennia-spanning history of George Lucas's long ago, far away galaxy to the ""Star Wars"" movies and ever-expanding range of books, novels, comics, and media. Packed full of interesting facts about the world of ""Star Wars"" merchandise and fandom, astonishing pieces of art, and full-color photographs, DK's compendium is the key to knowing ALL there is to know about the iconic brand that is ""Star Wars""!
Featuring tons of all-new content including characters, storylines, vehicles, weapons, merchandise, news, and beyond: LEGO(R) ""Star Wars""(TM) sets and minifigures Latest seasons of the ever-popular animated series, The Clone Wars The Force Unleashed video games Blue-ray release of Episode I: The Phantom Menace Updated galactic timeline and galaxy map And much, much more!
(c) 2012 Lucasfilm Ltd. (R) & TM All Rights Reserved. Used Under Authorization.",Hardcover,DK Children,200,9780756692483,,https://images.gr-assets.com/books/1355061598m/13224378.jpg,13224378,Star Wars: The Ultimate Visual Guide: Updated and Expanded,2012-04-30,non-fiction;fiction;fantasy;paranormal,Ryder Windham
9380607504,,,False,3.67,"A History of the Modern World: An Outline is an introductory text that provides a well-rounded historical account of the processes of the modern world, ranging from the French Revolution and Napoleon to the Cold War. The work assesses major moments and transitions in European and world history such as the Enlightenment, the Industrial Revolution, the American Civil War, and the World Wars of the twentieth century. One of the primary objectives of this book is to understand how revolutions, wars, dictatorships and empires have led to long-term experiments with nationalism, democracy, liberalism, human rights, socialism, sustainable development, and global peace.
This book will be of use to school and university students, competitive examinees, and general readers who require a clear and concise delineation of modern world history.",Paperback,Primus Books,430,9789380607504,,https://images.gr-assets.com/books/1396840859m/17154626.jpg,17154626,History of Modern World,2013-03-01,history;historical fiction;biography,Ranjan Chakrabarti
1934980544,,,False,4.26,"Leila Levinson's own experience as the daughter of a World War II veteran speaks to a more universal experience--the trauma of war as it wreaks havoc over generations. It is a touching story of search, revelation, and recovery.",Hardcover,Cable Publishing,266,9781934980545,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,10193376,Gated Grief: The Daughter of a GI Concentration Camp Liberator Discovers a Legacy of Trauma,2011-01-31,non-fiction;history;historical fiction;biography,Leila Levinson
,,en-US,True,3.0,"The two great world wars of the twentieth century put millions of men - and women - in uniform.
They touched almost every family.
But how did they impact on yours?
'Ancestors In Arms: Tracing Your Family Military History' is the book that will show you exactly how to find out what your ancestors did in the war.
Their stories, sometimes tragic, often heroic, will be among the most fascinating you can uncover about your family's past.
There are a mass of archives that can enable you to piece together what role they played in World War One, World War Two, or in countless smaller wars.
Simon Fowler, one of the UK's leading experts on researching your family history, shows you were to look. In 'Ancestors in Arms: Tracing Your Family Military History', he draws on years of experience to produce the most complete, easy-to-follow guide to tracking down your ancestors.
'Ancestors in Arms' includes sections on -
Research guidance
Records online
Visiting archive and museums
The Army
The Royal Navy
The Royal Marines
Britain's Air Forces
First World War
World War Two
Women in the Forces
As well as in-depth website lists, addresses, book lists and advice on other research methods.
Simon Fowler is one of Britain's top family history researchers and writers. Trained as an archivist he worked on and off for over thirty years at UK's National Archives as well as editing two family history magazines. He has written dozens of books and articles on all aspects of family and military history.",ebook,Endeavour Press,0,,,https://images.gr-assets.com/books/1380803164m/18623459.jpg,18623459,Ancestors in Arms,0000-00-00,history;historical fiction;biography,Simon Fowler
0151799229,,,False,3.45,"During World War II, David Pelham, a young British surgeon, parachutes into Yugoslavia and sets up a hospital to aid Tito's army. There he meets-and loves-the fiery Moja Javich, a resourceful partisan. Their love gives Pelham the strength to endure the atrocities of war as he seeks to avoid capture. Keneally has vigorously fleshed out ""a bloody good novel"" (Washington Post).",Hardcover,Houghton Mifflin Harcourt P,0,9780151799220,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1699570,Season In Purgatory,1977-01-01,fiction;history;historical fiction;biography,Thomas Keneally
0062328263,,,True,3.64,"With dry wit and psychological acuity, this near-future novel explores the aftershocks of an economically devastating U.S. sovereign debt default on four generations of a once-prosperous American family. Down-to-earth and perfectly realistic in scale, this is not an over-the-top Blade Runnertale. It is not science fiction.
In 2029, the United States is engaged in a bloodless world war that will wipe out the savings of millions of American families. Overnight, on the international currency exchange, the ""almighty dollar"" plummets in value, to be replaced by a new global currency, the ""bancor."" In retaliation, the president declares that America will default on its loans. ""Deadbeat Nation"" being unable to borrow, the government prints money to cover its bills. What little remains to savers is rapidly eaten away by runaway inflation.
The Mandibles have been counting on a sizable fortune filtering down when their ninety-seven-year-old patriarch dies. Once the inheritance turns to ash, each family member must contend with disappointment, but also--as the U.S. economy spirals into dysfunction--the challenge of sheer survival.
Recently affluent, Avery is petulant that she can't buy olive oil, while her sister, Florence, absorbs strays into her cramped household. An expat author, their aunt, Nollie, returns from abroad at seventy-three to a country that's unrecognizable. Her brother, Carter, fumes at caring for their demented stepmother, now that an assisted living facility isn't affordable. Only Florence's oddball teenage son, Willing, an economics autodidact, will save this formerly august American family from the streets.
The Mandiblesis about money. Thus it is necessarily about bitterness, rivalry, and selfishness--but also about surreal generosity, sacrifice, and transformative adaptation to changing circumstances.",ebook,Harper,432,9780062328267,,https://images.gr-assets.com/books/1461535076m/27839508.jpg,27839508,"The Mandibles: A Family, 2029-2047",2016-06-21,fiction;fantasy;paranormal,Lionel Shriver
